sha256	size	collected_utc	path
0f4d4377c9f19bd7c5dd7f3a92012a78c0660c8e2dc093708764352ee7065c99	120	2026-08-18T21:37:37Z	device/adb-devices.txt
011ab48ac1d1bafbd97328bb1bcf16ae0889bdb0a3bc58ab6a34404c85aa4717	352	2026-08-18T21:37:37Z	device/block-sizes.txt
65fe09716d475320abab8000843ec2a00da7124e652c66aed66d235b45db7c34	255	2026-08-18T21:37:37Z	device/engmode-processes.txt
f052c1ba7bd448e3393d89991cfce4e3d3cc4d3606dacff6ccfa7243ee6c3bb0	166	2026-08-18T21:37:37Z	device/engmode-services.txt
660a9ad72bf71060b61267d80e1517db98d7256f5642575502ac4a9ae6903fed	4553	2026-08-18T21:37:37Z	device/framework-classpath.txt
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-18T21:37:37Z	device/init-emservice-files.txt
1b9392573103fb048232278ab333676738f267bbd647a00c899b2a6ec8d38361	134	2026-08-18T21:37:37Z	device/init-engmode-service.rc
0cb769c4d465cffa8902d85875ffdb9bd4e573c30810f7aca071c5cae6f0a0c8	25454	2026-08-18T21:37:37Z	device/mounts.txt
adc0a3480d030690f7c297d7967a6f93f91fc351e17aa9fb79cb15c366509905	463507	2026-08-18T21:37:37Z	device/package-aircommand.txt
9ad442f742ad76bf29ef061939044a40fde90f6478e8b2526e0f4d986004c5b7	48	2026-08-18T21:37:37Z	device/package-hmt.txt
3834cdc7234600215508ef768077bdea46bbf8b21ec9b21061d4b2ee0bb48e47	320	2026-08-18T21:37:37Z	device/package-paths.txt
48e340c03e7c435addcfad68096e023d07ba1616d47c877bf4f6b793dbd19eb4	44343	2026-08-18T21:37:37Z	device/package-rampart.txt
45ac468ba1c1bad8ed3009303ac523f09b7d27cfc677791c5abbdbc6acfc8158	450596	2026-08-18T21:37:37Z	device/package-servicemode.txt
a2dd566d84da4933f3bc995855e3c88aaf1eafa2592a266861a165891274f3a6	1293	2026-08-18T21:37:37Z	device/partition-hashes-device.txt
2b1f0abaf6c1c93a399110968dd85b5b0186a8b444ad3bb03c728df983401e04	8670	2026-08-18T21:37:37Z	device/partitions-by-name.txt
fedc461367729dfed2d4fce9278c1916d88810adcc91ca94a33f191c1f9ba11b	4028	2026-08-18T21:37:37Z	device/proc-bootconfig.txt
199f7a41d2e30cd791ae2b278d7f8f7442db3e4eb533fe5a2ea71ee5aca42d40	2294	2026-08-18T21:37:37Z	device/proc-cmdline.txt
e252203afb20d935a11bfa2a33fb11491a7e77ffe935f33da2f6e127f7652643	23685	2026-08-18T21:37:37Z	device/proc-mounts.txt
2000b26fe54fc8a74d0cd509df160ed8991ba2e8088fecbb5f2c0687ba54e641	124151	2026-08-18T21:37:37Z	device/processes.txt
200d98b6553792a1d629a3ba51562903641bc8b2c57ac8de5d92e95473e856d5	119337	2026-08-18T21:37:37Z	device/properties-all.txt
5950992f406ce208e9b273416b3a316ef58668b09c699ace4528fc99e49da9a5	627	2026-08-18T21:37:37Z	device/properties-targeted.txt
539408503d59510f88e32ec9a2fe634911a6309d76c25043bc34f4254d22d7cb	907	2026-08-18T21:37:37Z	device/relevant-files.txt
19ccea15b81a0b07419cdf86f2ecce5266f2bf25857a0891ffcb33741e17a7ac	118	2026-08-18T21:37:37Z	device/root-identity.txt
fdced4c815df2f92441f8a501072521f993edb2b3c4d3ba8c38804c8bbbf3dea	888	2026-08-18T21:37:37Z	device/selinux-state.txt
67c0d474efd2d66ad3ca6117c8dff27cdc8d87cbb760cbef25ccb4937aaa232e	33784	2026-08-18T21:37:37Z	device/services.txt
3da56d761d2633121f4382873785e0960e8162f01fb32864257dba6c1edcf1fe	45699	2026-08-18T21:37:37Z	device/unix-sockets.txt
d4914ce9e82c4692da33dcf5d8019a6aa774faedd442c4a1b64cb7a6cf4e87af	222	2026-08-18T21:37:37Z	device/vintf-engmode-manifest.xml
